deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
train_sandwip_0598.wav,1.7851145,1.9573506,3.5123818,2.4672532,2.1616652,NISQAv2
train_sandwip_0599.wav,1.2922933,1.8071843,3.075336,2.1389742,1.6776828,NISQAv2
train_sandwip_0600.wav,1.6297218,2.0525687,3.5233157,2.3595176,1.9670542,NISQAv2
train_sandwip_0601.wav,2.070789,2.260512,3.8576481,2.7837594,2.229803,NISQAv2
train_sandwip_0602.wav,2.1390529,2.1433344,3.7324305,2.7401466,2.3020494,NISQAv2
train_sandwip_0603.wav,1.669464,2.1324677,3.6862614,2.5222275,1.8284693,NISQAv2
train_sandwip_0604.wav,1.9387023,2.1794763,3.6136887,2.6516087,2.562944,NISQAv2
train_sandwip_0605.wav,1.6347675,1.795139,3.312108,2.2951488,2.2477229,NISQAv2
train_sandwip_0606.wav,1.8892162,2.163921,3.3099034,2.4365258,2.3923583,NISQAv2
train_sandwip_0607.wav,2.2360325,2.6223757,2.918149,2.6924233,3.4145286,NISQAv2
train_sandwip_0608.wav,1.7968087,2.2299001,3.593147,2.4615414,2.1749668,NISQAv2
train_sandwip_0609.wav,1.534649,1.9731244,3.4680202,2.23842,1.8020725,NISQAv2
train_sandwip_0610.wav,1.8938159,1.9560769,3.0645368,2.3608727,2.6237292,NISQAv2
train_sandwip_0611.wav,2.047834,2.0349448,3.057642,2.4399374,2.981031,NISQAv2
train_sandwip_0612.wav,1.9914988,1.8625351,2.5547311,2.3553772,3.0625956,NISQAv2
train_sandwip_0613.wav,1.4899102,1.6406158,3.149994,2.0823026,2.3260357,NISQAv2
train_sandwip_0614.wav,1.4844214,1.7678111,3.3621762,2.287908,2.0753126,NISQAv2
train_sandwip_0615.wav,1.7698094,2.049089,3.4721916,2.4445815,2.0253158,NISQAv2
train_sandwip_0616.wav,1.443609,1.7507473,3.3657305,2.2324936,1.9222475,NISQAv2
train_sandwip_0617.wav,1.4168022,2.003231,3.5577862,2.2269623,1.7437735,NISQAv2
train_sandwip_0618.wav,1.3856792,1.8539124,3.172106,2.0598261,1.7099489,NISQAv2
train_sandwip_0619.wav,2.1646469,2.3155608,3.5497513,2.5338593,2.5582402,NISQAv2
train_sandwip_0620.wav,1.7003855,2.1728735,3.4895175,2.356286,1.9879541,NISQAv2
train_sandwip_0621.wav,2.6477273,2.4125566,3.8810782,3.1777356,3.0331624,NISQAv2
train_sandwip_0622.wav,1.9660547,2.1803944,3.5386217,2.551002,2.0703545,NISQAv2
train_sandwip_0623.wav,1.6591947,2.1721864,3.3648636,2.4663806,2.0496762,NISQAv2
train_sandwip_0624.wav,1.5315115,1.889584,3.5528636,2.3616087,1.9519887,NISQAv2
train_sandwip_0625.wav,1.7310985,2.1485891,3.6798034,2.5202734,2.1055737,NISQAv2
train_sandwip_0626.wav,1.4961598,2.24078,2.324905,2.075099,2.6317275,NISQAv2
train_sandwip_0627.wav,2.2373195,2.33766,3.1795633,2.427263,2.6142445,NISQAv2
train_sandwip_0628.wav,2.0188913,2.3286514,3.6349485,2.5145469,2.248191,NISQAv2
train_sandwip_0629.wav,2.1054828,2.3365493,3.633331,2.6150188,2.4009824,NISQAv2
train_sandwip_0630.wav,2.245852,2.4024746,3.5936728,2.4872456,2.213107,NISQAv2
train_sandwip_0631.wav,2.2562168,2.0483518,2.9384594,2.473242,3.2321374,NISQAv2
train_sandwip_0632.wav,2.2524152,2.1014628,2.9254277,2.4291248,3.1683629,NISQAv2
train_sandwip_0633.wav,1.711132,2.01672,3.4255092,2.382499,2.7478478,NISQAv2
train_sandwip_0634.wav,2.3275297,1.9853373,3.5557086,2.823471,3.148603,NISQAv2
train_sandwip_0635.wav,1.9632256,1.8886653,3.9711127,2.5302722,2.7652664,NISQAv2
train_sandwip_0636.wav,1.6305339,1.8815814,3.4422472,2.1552103,2.5414627,NISQAv2
train_sandwip_0637.wav,1.9184289,1.8029766,3.6173499,2.5315382,2.1907148,NISQAv2
train_sandwip_0638.wav,2.540352,2.0460718,3.8895628,2.9408724,3.3332942,NISQAv2
train_sandwip_0639.wav,1.2480172,1.5777867,2.82871,1.6201614,1.6885575,NISQAv2
train_sandwip_0640.wav,1.3747485,1.6954725,3.2276363,1.6944408,1.6748343,NISQAv2
train_sandwip_0641.wav,1.696892,1.677231,3.8180513,2.7679784,2.513837,NISQAv2
train_sandwip_0642.wav,1.8356445,1.7124492,3.7044513,2.3738923,2.3146918,NISQAv2
train_sandwip_0643.wav,1.8015863,1.754598,3.6758983,2.4086308,2.122786,NISQAv2
train_sandwip_0644.wav,2.0204647,1.8156034,3.8334992,2.5786414,2.5962358,NISQAv2
train_sandwip_0645.wav,1.5992278,1.7301097,3.5321634,1.9763274,1.846882,NISQAv2
